,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,JavaScript: 2393,JavaScript: 8398,JavaScript: 12283,JavaScript: 16593,JavaScript: 16426,Пользователь ПК: 27429,Работа в команде: 56218,Работа в команде: 64264,Работа в команде: 30864
1,HTML: 2069,HTML: 6776,HTML: 9681,HTML: 12950,Пользователь ПК: 14588,Грамотная речь: 24337,Грамотная речь: 52083,Пользователь ПК: 43298,Грамотная речь: 24619
2,PHP: 1975,Ведение переговоров: 6469,PHP: 9153,PHP: 11982,Git: 13273,Работа в команде: 23649,Пользователь ПК: 44745,Грамотная речь: 32611,Пользователь ПК: 23085
3,jQuery: 1729,PHP: 6360,CSS: 8500,Git: 11939,Работа в команде: 13244,Git: 20070,Git: 31004,Git: 25838,SQL: 15006
4,CSS: 1701,Пользователь ПК: 5874,Git: 8147,CSS: 11393,HTML: 12866,JavaScript: 19566,JavaScript: 26828,SQL: 22644,Git: 14741
5,MySQL: 1693,CSS: 5708,MySQL: 7689,Ведение переговоров: 11288,Ведение переговоров: 12424,Активные продажи: 18108,Английский язык: 25820,Техническое обслуживание: 21181,Adobe Photoshop: 14720
6,HTML5: 1607,Git: 5548,Ведение переговоров: 7492,MySQL: 10104,Грамотная речь: 12047,SQL: 15944,SQL: 25578,Английский язык: 20426,Деловое общение: 14629
7,Ведение переговоров: 1571,jQuery: 5492,jQuery: 6754,Работа в команде: 9802,PHP: 11242,HTML: 15258,Активные продажи: 24175,JavaScript: 19802,Linux: 13182
8,Git: 1553,Работа в команде: 5396,HTML5: 6100,Пользователь ПК: 9322,CSS: 11074,Ведение переговоров: 13647,Деловое общение: 23045,Linux: 19782,1С программирование: 12353
9,CSS3: 1321,MySQL: 5238,Работа в команде: 5944,Активные продажи: 8300,Активные продажи: 9767,CSS: 13478,Ведение переговоров: 22569,Adobe Photoshop: 19361,Работа с большим объемом информации: 12098
10,Поиск и привлечение клиентов: 1262,Грамотная речь: 4687,Пользователь ПК: 5723,Управление проектами: 8013,MySQL: 9625,Linux: 13114,Linux: 20003,Работа в условиях многозадачности: 18081,Техническая поддержка: 11863
11,Активные продажи: 1229,HTML5: 4672,Активные продажи: 5435,Грамотная речь: 7918,SQL: 9545,Английский язык: 13065,Грамотность: 19580,Грамотность: 16295,Настройка ПК: 11235
12,Пользователь ПК: 1211,Навыки продаж: 4383,Управление проектами: 5225,SQL: 7701,Управление проектами: 8805,PHP: 12817,Телефонные переговоры: 19559,1С программирование: 15814,JavaScript: 11076
13,Работа в команде: 1164,Поиск и привлечение клиентов: 4296,ООП: 5159,Телефонные переговоры: 7689,Телефонные переговоры: 8374,Деловое общение: 12532,HTML: 19358,Управление проектами: 15711,Управление проектами: 10411
14,Ajax: 1077,Активные продажи: 4001,Грамотная речь: 5040,jQuery: 7642,B2B Продажи: 8201,MySQL: 12472,Adobe Photoshop: 18494,Настройка ПК: 15700,Аналитическое мышление: 10300
15,ООП: 1074,Управление проектами: 3906,SQL: 4936,HTML5: 7600,Деловая переписка: 8048,Телефонные переговоры: 11639,Управление проектами: 18177,Работа с большим объемом информации: 15395,Клиентоориентированность: 10127
16,Грамотная речь: 1065,Деловая переписка: 3772,B2B Продажи: 4902,B2B Продажи: 7459,Деловое общение: 7916,Клиентоориентированность: 10518,Деловая переписка: 17195,PHP: 14583,1С Предприятие 8: 10090
17,Управление проектами: 1062,CSS3: 3750,Телефонные переговоры: 4842,Деловая переписка: 7389,Linux: 7888,Управление проектами: 10256,PHP: 17184,1С Предприятие 8: 14420,PHP: 9817
18,Деловая переписка: 1027,ООП: 3747,Linux: 4515,Поиск и привлечение клиентов: 6479,Английский язык: 7287,B2B Продажи: 10244,CSS: 16773,Умение работать в команде: 13895,Настройка сетевых подключений: 9724
19,SQL: 1027,Телефонные переговоры: 3585,Поиск и привлечение клиентов: 4505,Linux: 6404,Навыки продаж: 6688,Навыки продаж: 9942,MySQL: 16511,Организаторские навыки: 13403,Настройка ПО: 9127
